formula,name_jp,name_en,C,H,O,N,etc,total,level,functional_groups,fg_count
H2,水素分子,Hydrogen,0,2,0,0,0,2,1,,0
N2,窒素分子,Nitrogen,0,0,0,2,0,2,1,,0
Cl2,塩素分子,Chlorine,0,0,0,0,2,2,1,,0
O2,酸素分子,Oxygen,0,0,2,0,0,2,1,,0
-OH,ヒドロキシ基,Hydroxyl,0,1,1,0,0,2,1,,0
-CHO,アルデヒド基,Aldehyde,1,1,1,0,0,3,1,,0
CO2,二酸化炭素,Carbon Dioxide,1,0,2,0,0,3,1,,0
H2O,水,Water,0,2,1,0,0,3,1,,0
H2S,硫化水素,Hydrogen Sulfide,0,2,0,0,1,3,1,,0
-NH2,アミノ基,Amino,0,2,0,1,0,3,1,,0
-CO-,カルボニル基,Carbonyl,1,0,1,0,0,2,1,,0
-NO2,ニトロ基,Nitro,0,0,2,1,0,3,1,,0
O3,オゾン,Ozone,0,0,3,0,0,3,1,,0
SO2,二酸化硫黄,Sulfur Dioxide,0,0,2,0,1,3,1,,0
C2H2,アセチレン,Acetylene,2,2,0,0,0,4,1,,0
CH2O,ホルムアルデヒド,Formaldehyde,1,2,1,0,0,4,1,-CHO,1
-CH3,メチル基,Methyl,1,3,0,0,0,4,1,,0
-COOH,カルボキシ基,Carboxyl,1,1,2,0,0,4,1,,0
H2O2,過酸化水素,Hydrogen Peroxide,0,2,2,0,0,4,1,,0
NH3,アンモニア,Ammonia,0,3,0,1,0,4,1,,0
CH2O2,ギ酸,Formic Acid,1,2,2,0,0,5,2,-COOH,1
CH4,メタン,Methane,1,4,0,0,0,5,2,,0
CHCl3,クロロホルム,Chloroform,1,1,0,0,3,5,2,,0
HNO3,硝酸,Nitric Acid,0,1,3,1,0,5,2,,0
C2H3Cl,塩化ビニル,Vinyl Chloride,2,3,0,0,1,6,2,,0
C2H4,エチレン,Ethylene,2,4,0,0,0,6,2,,0
SF6,六フッ化硫黄,Sulfur Hexafluoride,0,0,0,0,7,7,2,,0
CH4N2O,尿素,Urea,1,4,1,2,0,8,2,-NH2 x2/-CO-,3
CH5N3,グアニジン,Guanidine,1,5,0,3,0,9,2,-NH2 x2,2
C2H6O,エタノール,Ethanol,2,6,1,0,0,9,2,-OH,1
C6H6,ベンゼン,Benzene,6,6,0,0,0,12,2,,0
C3H6O3,乳酸,Lactic Acid,3,6,3,0,0,12,2,-COOH/-OH,2
C3H8O3,グリセリン,Glycerin,3,8,3,0,0,14,2,-OH x3,3
C5H5N5,アデニン,Adenine,5,5,0,5,0,15,2,-NH2,1
C3H6N6,メラミン,Melamine,3,6,0,6,0,15,2,-NH2 x3,3
C6H8O6,ビタミンC,Ascorbic Acid,6,8,6,0,0,20,3,-OH x4,4
C7H5N3O6,TNT,Trinitrotoluene,7,5,6,3,0,21,3,-NO2 x3/-CH3,4
C6H8O7,クエン酸,Citric Acid,6,8,7,0,0,21,3,-COOH x3/-OH,4
C12H4Cl4O2,ダイオキシン,Dioxin,12,4,2,0,4,22,3,,0
C8H11NO2,ドーパミン,Dopamine,8,11,2,1,0,22,3,-OH x2/-NH2,3
C8H11NO3,ノルアドレナリン,Noradrenaline,8,11,3,1,0,23,3,-OH x3/-NH2,4
C6H12O6,グルコース,Glucose,6,12,6,0,0,24,3,-OH x5/-CHO,6
C8H10N4O2,カフェイン,Caffeine,8,10,2,4,0,24,3,-CH3 x3/-CO- x2,5
C10H12N2O,セロトニン,Serotonin,10,12,1,2,0,25,3,-OH/-NH2,2
C9H13NO3,アドレナリン,Adrenaline,9,13,3,1,0,26,3,-OH x3/-CH3,4
C4H6O4,コハク酸,Succinic Acid,4,6,4,0,0,14,2,-COOH x2,2
C4H9NO2,GABA,GABA,4,9,2,1,0,16,2,-COOH/-NH2,2
C4H6O6,酒石酸,Tartaric Acid,4,6,6,0,0,16,2,-COOH x2/-OH x2,4
C4H7NO4,アスパラギン酸,Aspartic Acid,4,7,4,1,0,16,2,-COOH x2/-NH2,3
C4H9NO3,トレオニン,Threonine,4,9,3,1,0,17,2,-COOH/-NH2/-OH/-CH3,4
